unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1628388000000,2021-08-08 02:00:00,BTC/USDT,44102.84000000,44148.00000000,43785.00000000,43924.98000000,1916.23668300,84285247.95789196,105952
1628391600000,2021-08-08 03:00:00,BTC/USDT,43924.98000000,44355.97000000,43882.18000000,44322.42000000,1676.76970700,74128933.05895624,76678
1628395200000,2021-08-08 04:00:00,BTC/USDT,44322.42000000,44528.00000000,44155.21000000,44330.43000000,1560.54306200,69221540.52950916,41111
1628398800000,2021-08-08 05:00:00,BTC/USDT,44330.43000000,44813.77000000,44180.00000000,44746.29000000,2892.69393500,128984199.16251446,59123
1628402400000,2021-08-08 06:00:00,BTC/USDT,44746.29000000,45310.00000000,44633.83000000,45027.36000000,6450.53715800,290244660.49663402,141299
1628406000000,2021-08-08 07:00:00,BTC/USDT,45027.97000000,45266.17000000,44725.00000000,44804.51000000,3225.06196800,145117291.21379877,128732
1628409600000,2021-08-08 08:00:00,BTC/USDT,44804.51000000,45014.45000000,44405.69000000,44465.63000000,2787.48481500,124692212.35673304,65922
1628413200000,2021-08-08 09:00:00,BTC/USDT,44465.64000000,44888.18000000,44412.41000000,44724.17000000,2526.74993800,112960515.55764902,45628
1628416800000,2021-08-08 10:00:00,BTC/USDT,44724.16000000,44864.53000000,44193.19000000,44371.36000000,2799.44354900,124367018.22409925,86090
1628420400000,2021-08-08 11:00:00,BTC/USDT,44371.93000000,44717.00000000,44071.82000000,44452.06000000,2779.48309500,123549864.88344989,65062
1628424000000,2021-08-08 12:00:00,BTC/USDT,44452.05000000,45134.89000000,44357.35000000,45006.56000000,3031.68576900,135906542.83723733,70977
1628427600000,2021-08-08 13:00:00,BTC/USDT,45006.56000000,45198.27000000,44511.05000000,44750.00000000,2375.58246200,106549632.62773631,56212
1628431200000,2021-08-08 14:00:00,BTC/USDT,44749.99000000,44854.47000000,43818.00000000,43918.97000000,4765.98770400,210991353.66229360,93952
1628434800000,2021-08-08 15:00:00,BTC/USDT,43922.19000000,44190.00000000,43737.00000000,43984.55000000,3303.71283500,145425801.99764192,72001
1628438400000,2021-08-08 16:00:00,BTC/USDT,43988.88000000,44391.35000000,43581.48000000,43720.01000000,3504.05300400,154021831.62527604,75898
1628442000000,2021-08-08 17:00:00,BTC/USDT,43720.00000000,43910.00000000,43519.51000000,43674.82000000,2900.62977900,126777714.44233009,71768
1628445600000,2021-08-08 18:00:00,BTC/USDT,43674.81000000,43923.50000000,43396.35000000,43627.13000000,2277.09594700,99424296.32412375,57964
1628449200000,2021-08-08 19:00:00,BTC/USDT,43619.54000000,43884.10000000,43261.00000000,43715.10000000,2655.50374200,115663179.89214167,63619
1628452800000,2021-08-08 20:00:00,BTC/USDT,43715.10000000,44270.00000000,43541.05000000,43840.91000000,3178.49766800,139515415.54657403,65929
1628456400000,2021-08-08 21:00:00,BTC/USDT,43840.91000000,44260.67000000,43758.23000000,44229.20000000,1313.66079600,57850734.18945102,41075
1628460000000,2021-08-08 22:00:00,BTC/USDT,44229.20000000,44581.00000000,44152.91000000,44188.37000000,2002.95998800,88849594.88648580,99378
1628463600000,2021-08-08 23:00:00,BTC/USDT,44188.37000000,44444.00000000,43636.03000000,43794.37000000,2212.36688900,97354684.72459534,109361
1628467200000,2021-08-09 00:00:00,BTC/USDT,43794.36000000,43960.84000000,43050.00000000,43185.80000000,4131.98014800,179216818.94048409,105884
1628470800000,2021-08-09 01:00:00,BTC/USDT,43185.80000000,43343.58000000,42779.00000000,43094.78000000,3272.58476900,140858214.32887595,71547
1628474400000,2021-08-09 02:00:00,BTC/USDT,43094.78000000,43499.32000000,43045.41000000,43472.23000000,1269.67046600,54976331.78786665,33514
1628478000000,2021-08-09 03:00:00,BTC/USDT,43472.23000000,43632.14000000,43273.40000000,43496.09000000,1170.67519800,50847928.22641874,35088
1628481600000,2021-08-09 04:00:00,BTC/USDT,43496.09000000,43600.00000000,43234.00000000,43580.41000000,1991.74078200,86481509.61717155,35853
1628485200000,2021-08-09 05:00:00,BTC/USDT,43580.41000000,43734.02000000,43372.91000000,43544.45000000,1208.52092800,52670376.49324338,31158
1628488800000,2021-08-09 06:00:00,BTC/USDT,43544.46000000,43651.00000000,43263.21000000,43474.00000000,1737.37737200,75444343.18808015,39996
