,Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
9999,1592902800000,2020-06-23 09:00:00,BTCUSD,9603.02,9615.16,9581.01,9602.34,7.64049537
9998,1592906400000,2020-06-23 10:00:00,BTCUSD,9602.34,9607.58,9580.27,9587.89,16.9056911748
9997,1592910000000,2020-06-23 11:00:00,BTCUSD,9587.89,9645.24,9587.84,9640.09,150.7319314528
9996,1592913600000,2020-06-23 12:00:00,BTCUSD,9640.09,9649.47,9614.88,9634.4,208.6093567533
9995,1592917200000,2020-06-23 13:00:00,BTCUSD,9634.4,9650.45,9613.49,9641.4,28.8215214297
9994,1592920800000,2020-06-23 14:00:00,BTCUSD,9641.4,9668.53,9627.08,9647.15,44.5060867047
9993,1592924400000,2020-06-23 15:00:00,BTCUSD,9647.15,9692.71,9641.86,9690.01,70.4896735794
9992,1592928000000,2020-06-23 16:00:00,BTCUSD,9690.01,9696.56,9656.04,9661.1,92.9467296562
9991,1592931600000,2020-06-23 17:00:00,BTCUSD,9661.1,9674.76,9643.71,9669.65,63.4164493622
9990,1592935200000,2020-06-23 18:00:00,BTCUSD,9669.65,9686.0,9647.34,9657.43,142.8710734945
9989,1592938800000,2020-06-23 19:00:00,BTCUSD,9657.43,9667.01,9650.0,9650.01,38.0792544963
9988,1592942400000,2020-06-23 20:00:00,BTCUSD,9650.01,9666.46,9636.15,9636.16,63.336970886
9987,1592946000000,2020-06-23 21:00:00,BTCUSD,9636.16,9654.4,9600.0,9650.03,68.2517835795
9986,1592949600000,2020-06-23 22:00:00,BTCUSD,9650.03,9660.5,9590.55,9610.82,66.6300973586
9985,1592953200000,2020-06-23 23:00:00,BTCUSD,9610.82,9623.91,9592.55,9621.38,60.958722616
9984,1592956800000,2020-06-24 00:00:00,BTCUSD,9621.38,9646.96,9619.02,9624.69,39.9295900387
9983,1592960400000,2020-06-24 01:00:00,BTCUSD,9624.69,9652.94,9612.8,9650.01,19.3115417508
9982,1592964000000,2020-06-24 02:00:00,BTCUSD,9650.01,9670.31,9640.75,9657.9,27.1750767232
9981,1592967600000,2020-06-24 03:00:00,BTCUSD,9657.9,9669.57,9642.98,9647.69,58.2481682485
9980,1592971200000,2020-06-24 04:00:00,BTCUSD,9647.69,9665.99,9642.98,9650.17,21.2579758954
9979,1592974800000,2020-06-24 05:00:00,BTCUSD,9650.17,9656.37,9640.0,9640.01,37.9550255773
9978,1592978400000,2020-06-24 06:00:00,BTCUSD,9640.01,9666.0,9640.01,9659.59,16.4573793864
9977,1592982000000,2020-06-24 07:00:00,BTCUSD,9659.59,9659.6,9496.2,9500.0,140.3742360765
9976,1592985600000,2020-06-24 08:00:00,BTCUSD,9500.0,9541.65,9480.31,9516.08,44.0633856262
9975,1592989200000,2020-06-24 09:00:00,BTCUSD,9516.08,9522.0,9483.54,9518.23,44.33614242
9974,1592992800000,2020-06-24 10:00:00,BTCUSD,9518.23,9520.78,9275.0,9361.57,409.2192587454
9973,1592996400000,2020-06-24 11:00:00,BTCUSD,9361.57,9399.68,9310.06,9310.06,118.7140400786
9972,1593000000000,2020-06-24 12:00:00,BTCUSD,9310.06,9388.46,9267.5,9382.5,69.9715595773
9971,1593003600000,2020-06-24 13:00:00,BTCUSD,9382.5,9412.68,9335.73,9335.73,148.1858152196
9970,1593007200000,2020-06-24 14:00:00,BTCUSD,9335.73,9353.83,9281.02,9281.02,220.0860724773
9969,1593010800000,2020-06-24 15:00:00,BTCUSD,9281.02,9319.72,9198.85,9240.77,437.5936438494
9968,1593014400000,2020-06-24 16:00:00,BTCUSD,9240.77,9310.11,9228.81,9297.56,128.3590404978
9967,1593018000000,2020-06-24 17:00:00,BTCUSD,9297.56,9313.83,9269.92,9293.0,158.5230922089
9966,1593021600000,2020-06-24 18:00:00,BTCUSD,9293.0,9325.0,9285.56,9306.06,54.64870136
9965,1593025200000,2020-06-24 19:00:00,BTCUSD,9306.06,9332.99,9280.47,9297.83,131.7895358961
9964,1593028800000,2020-06-24 20:00:00,BTCUSD,9297.83,9316.47,9280.0,9289.14,54.5459740832
9963,1593032400000,2020-06-24 21:00:00,BTCUSD,9289.14,9294.6,9227.89,9262.62,86.2352371831
9962,1593036000000,2020-06-24 22:00:00,BTCUSD,9262.62,9290.87,9260.0,9290.87,35.2974101544
9961,1593039600000,2020-06-24 23:00:00,BTCUSD,9290.87,9316.3,9268.23,9296.46,109.4186581504
9960,1593043200000,2020-06-25 00:00:00,BTCUSD,9296.46,9296.46,9229.94,9255.36,90.4413690289
9959,1593046800000,2020-06-25 01:00:00,BTCUSD,9255.36,9297.37,9255.36,9262.14,45.0213790872
9958,1593050400000,2020-06-25 02:00:00,BTCUSD,9262.14,9274.54,9210.29,9240.23,79.5093681677
9957,1593054000000,2020-06-25 03:00:00,BTCUSD,9240.23,9243.96,8981.97,9081.56,540.1290260827
9956,1593057600000,2020-06-25 04:00:00,BTCUSD,9081.56,9142.81,9073.22,9101.98,148.0505796449
9955,1593061200000,2020-06-25 05:00:00,BTCUSD,9101.98,9185.24,9084.77,9166.45,245.9577560278
9954,1593064800000,2020-06-25 06:00:00,BTCUSD,9166.45,9190.27,9151.72,9176.9,69.6797387516
9953,1593068400000,2020-06-25 07:00:00,BTCUSD,9176.9,9179.76,9131.22,9163.02,15.5481298178
